RunID,Judged,Topics,Retrieve,RelevantRetrieve,RelevantTopic,MAP,MeanBpref,MeanNDCG@10,MeanNDCG@20,MeanRBP(p=0.5),P@5,P@10,P@15,P@20,P@30,ExactPrecision
10x10.prf.unipd.it,no,30,30000,1283,2352,0.1828,0.4102,0.4493,,,0.5867,0.5,0.4556,0.4167,0.3522,0.2432
10x20.prf.unipd.it,yes,30,30000,1359,2352,0.1899,0.4261,0.5031,,,0.66,0.5633,0.4889,0.4433,0.3667,0.241
azimiv,yes,30,29991,1506,2352,0.2351,0.4017,0.5219,,,0.6067,0.5867,0.5267,0.4967,0.4344,0.2971
base.unipd.it,no,30,30000,1314,2352,0.2081,0.3782,0.572,,,0.7267,0.6067,0.5244,0.47,0.4,0.2579
baseline,yes,30,30000,1444,2352,0.215,0.4254,0.4386,,,0.6067,0.5267,0.4556,0.3983,0.3444,0.2484
BioinfoUA-emb,yes,30,30000,1227,2352,0.1903,0.353,0.5298,,,0.6333,0.5533,0.4756,0.4283,0.37,0.2367
BioinfoUA-noadapt,no,30,30000,1257,2352,0.1942,0.3745,0.4858,,,0.5867,0.54,0.4889,0.4367,0.3611,0.2559
BM25R2,no,30,30000,1360,2352,0.1628,0.4171,0.318,,,0.4,0.3333,0.3044,0.2867,0.2644,0.2112
bm25t5,yes,30,30000,1562,2352,0.2243,0.3894,0.4952,,,0.58,0.57,0.5267,0.4767,0.4167,0.2821
CSIROmedNIR,no,30,30000,1305,2352,0.2169,0.4066,0.5875,,,0.66,0.56,0.5089,0.4533,0.4056,0.2775
dmis-rnd1-run1,no,30,13824,826,2352,0.1202,0.2791,0.4467,,,0.5867,0.45,0.3756,0.3383,0.2778,0.1856
elhuyar,no,30,29999,1309,2352,0.1867,0.3906,0.4442,,,0.5533,0.4967,0.4489,0.4017,0.3556,0.2522
elhuyar,yes,30,29999,1328,2352,0.2093,0.4066,0.4864,,,0.6133,0.55,0.4867,0.4483,0.4044,0.2764
elhuyar,no,30,29999,1320,2352,0.1893,0.3938,0.4401,,,0.5867,0.4933,0.4467,0.405,0.3656,0.2564
IRIT,yes,30,29994,1521,2352,0.2309,0.4198,0.588,,,0.72,0.6167,0.5267,0.495,0.4167,0.2838
IRIT,no,30,29994,1521,2352,0.2415,0.4209,0.5813,,,0.6867,0.62,0.5622,0.505,0.4322,0.2946
IRIT,no,30,29994,1521,2352,0.2481,0.4299,0.5859,,,0.7333,0.62,0.5467,0.5017,0.4378,0.3049
ixa-ir-lter-query,yes,30,30000,1287,2352,0.1965,0.4,0.44,,,0.5667,0.49,0.4578,0.4117,0.3622,0.2641
KU,no,30,30000,1355,2352,0.2205,0.3814,0.4693,,,0.5933,0.5367,0.5,0.4567,0.3978,0.2559
KU,yes,30,30000,1346,2352,0.2116,0.3787,0.467,,,0.5667,0.5567,0.5067,0.4667,0.3867,0.2555
OHSU,no,30,29971,1542,2352,0.2525,0.4251,0.4311,,,0.5067,0.48,0.4533,0.4233,0.38,0.295
run2,no,30,14997,1220,2352,0.2601,0.4177,0.6032,,,0.6867,0.6267,0.58,0.5317,0.4733,0.3299
sab20.1.blind,no,30,30000,1413,2352,0.1659,0.4194,0.3933,,,0.54,0.4467,0.38,0.3517,0.29,0.2159
sab20.1.merged,no,30,30000,1690,2352,0.241,0.4819,0.5115,,,0.6267,0.5867,0.5311,0.4867,0.4056,0.2812
sab20.1.meta.docs,yes,30,30000,1778,2352,0.3128,0.4832,0.608,,,0.78,0.7,0.6333,0.5917,0.5211,0.3548
smith.bm25,no,30,30000,1451,2352,0.2181,0.4071,0.4118,,,0.5467,0.4833,0.4378,0.4217,0.3644,0.2727
smith.ql,no,30,30000,1463,2352,0.22,0.4022,0.4261,,,0.56,0.4933,0.4711,0.4367,0.3733,0.2728
smith.rm3,yes,30,30000,1612,2352,0.2844,0.4669,0.5087,,,0.6467,0.5767,0.5289,0.5033,0.4433,0.3245
T5R1,yes,30,5362,681,2352,0.1919,0.2838,0.5223,,,0.6467,0.5667,0.5022,0.47,0.3989,0.2585
T5R3,no,30,12506,932,2352,0.2111,0.3503,0.5124,,,0.6333,0.5233,0.4822,0.44,0.3911,0.2815
Technion-JPD,yes,30,30000,1408,2352,0.1988,0.389,0.4375,,,0.58,0.4833,0.4356,0.3933,0.35,0.2479
Technion-MEDMM,no,30,30000,1434,2352,0.2307,0.4143,0.4527,,,0.5867,0.51,0.5089,0.4367,0.3833,0.2805
Technion-RRF,no,30,30000,1430,2352,0.2236,0.4066,0.4599,,,0.5933,0.5133,0.46,0.4283,0.3778,0.2671
udel,no,30,30000,1616,2352,0.256,0.4161,0.4838,,,0.6133,0.5233,0.4956,0.4733,0.42,0.306
udel,no,30,30000,1768,2352,0.2973,0.4538,0.537,,,0.6333,0.6,0.5467,0.5283,0.4789,0.3394
UIowaS,no,30,30000,1365,2352,0.22,0.4231,0.5048,,,0.5933,0.56,0.4956,0.4533,0.3856,0.285
UIowaS,no,30,30000,1377,2352,0.231,0.4376,0.5089,,,0.6467,0.56,0.5022,0.4683,0.3989,0.2991
UIowaS,yes,30,30000,1472,2352,0.2625,0.4686,0.5286,,,0.6467,0.5867,0.5244,0.495,0.44,0.3274
uogTrDPH,no,30,30000,1571,2352,0.2362,0.3981,0.508,,,0.62,0.57,0.5156,0.465,0.4056,0.288
uogTrDPH,yes,30,30000,1609,2352,0.2563,0.4386,0.5338,,,0.64,0.6,0.54,0.5067,0.4411,0.3071
uogTrDPH,no,30,30000,1609,2352,0.2563,0.4386,0.5338,,,0.64,0.6,0.54,0.5067,0.4411,0.3071
UP-cqqrnd1,no,30,27274,1309,2352,0.2136,0.3782,0.4753,,,0.5933,0.5333,0.4911,0.4367,0.3656,0.2605
UP-rrf5rnd1,yes,30,26118,1510,2352,0.247,0.3983,0.5316,,,0.68,0.5833,0.5267,0.47,0.4167,0.3028
BBGhelani1,yes,35,35000,2040,3002,0.2412,0.5045,0.5846,,0.6374+0.0035,0.7543,0.6629,0.5733,0.53,0.4486,0.2789
BBGhelani2,no,35,35000,2042,3002,0.2402,0.502,0.5846,,0.6374+0.0035,0.7543,0.6629,0.5752,0.5271,0.4448,0.2777
BBGhelani3,no,35,35000,1982,3002,0.2386,0.5027,0.5868,,0.6376+0.0036,0.7543,0.6657,0.5771,0.53,0.4514,0.2843
BITEM,yes,35,35000,1876,3002,0.218,0.4358,0.4875,,0.5411+0.0026,0.6,0.5314,0.4838,0.4357,0.4,0.2671
bm25,no,35,32385,1632,3002,0.2132,0.4054,0.5655,,0.6635+0.0577,0.6914,0.6086,0.5524,0.5086,0.4314,0.2682
CincyMedIR-11,yes,35,32119,1511,3002,0.1749,0.3544,0.5122,,0.6134+0.0023,0.6286,0.5486,0.4876,0.4486,0.3895,0.2274
cogir-ibm-q-PolRnk,no,35,35000,1677,3002,0.238,0.4082,0.589,,0.6174+0.0364,0.6971,0.6371,0.5581,0.5214,0.4505,0.2921
cogir-ibm-qQ-combs,no,35,35000,1816,3002,0.259,0.4222,0.6131,,0.6456+0.0022,0.7086,0.6657,0.6019,0.5529,0.4819,0.3126
cogir-ibm-qQ-PolRnk,yes,35,35000,1816,3002,0.2628,0.425,0.6104,,0.6480+0.0011,0.7314,0.6571,0.6038,0.5629,0.4838,0.3144
combined,yes,35,32416,1698,3002,0.2243,0.4237,0.5878,,0.6743+0.0027,0.6971,0.62,0.5581,0.5,0.4257,0.2689
combined,no,35,32366,1676,3002,0.2312,0.4203,0.5998,,0.6773+0.0397,0.7143,0.6514,0.5829,0.52,0.4552,0.2861
COMBSUM,yes,35,31601,1687,3002,0.2135,0.3784,0.5028,,0.5471+0.0013,0.6114,0.5514,0.52,0.4814,0.4048,0.2736
ContrastNLGSciBert,no,35,30799,1942,3002,0.2775,0.4302,0.6138,,0.6933+0.0158,0.7314,0.6371,0.5924,0.54,0.4619,0.3125
cord19.vespa.ai-bm25,no,35,35000,1623,3002,0.1914,0.3607,0.5549,,0.6359+0.0811,0.64,0.5971,0.5371,0.48,0.4152,0.2489
cord19.vespa.ai-gbdt,yes,35,35000,1623,3002,0.1884,0.3887,0.5422,,0.6324+0.0027,0.6686,0.5514,0.5105,0.46,0.3867,0.241
covidex.fuse,no,35,35000,2197,3002,0.291,0.5345,0.5904,,0.6544+0.0651,0.6743,0.6371,0.6248,0.5729,0.4867,0.3337
covidex.sim,no,35,32404,1719,3002,0.1567,0.4546,0.3254,,0.3511+0.4867,0.3829,0.3657,0.339,0.3143,0.2876,0.2225
covidex.t5,yes,35,30506,1963,3002,0.288,0.4876,0.625,,0.6634+0.0013,0.7314,0.6629,0.621,0.5743,0.4886,0.3245
CSIROmedNIR,yes,35,32455,1566,3002,0.192,0.3755,0.578,,0.6899+0.0024,0.72,0.5829,0.5219,0.4829,0.401,0.247
CSIROmedNIRR,no,35,32508,1545,3002,0.1857,0.3714,0.568,,0.6737+0.0033,0.7029,0.5829,0.5143,0.47,0.3933,0.244
CSIROmed,no,35,32467,1690,3002,0.2176,0.4358,0.5804,,0.6481+0.1644,0.68,0.6114,0.5524,0.4914,0.4105,0.2669
cu,no,35,31434,1658,3002,0.2083,0.4132,0.5564,,0.6355+0.1171,0.6171,0.5657,0.539,0.5014,0.4352,0.2732
DD,yes,35,31609,1648,3002,0.2064,0.3802,0.5482,,0.6018+0.0014,0.6629,0.6086,0.5429,0.4914,0.4152,0.2582
elhuyar,yes,35,31888,1962,3002,0.2941,0.4793,0.5912,,0.6313+0.0011,0.72,0.64,0.6095,0.5857,0.5257,0.3429
elhuyar,no,35,31888,1962,3002,0.2851,0.4772,0.59,,0.6203+0.0038,0.7314,0.6486,0.6095,0.5786,0.5248,0.3361
elhuyar,no,35,31888,1962,3002,0.2923,0.4791,0.5905,,0.6227+0.0018,0.7314,0.6457,0.6152,0.5829,0.5314,0.3395
Emory,yes,35,15080,1240,3002,0.2247,0.3539,0.5832,,0.6338+0.0020,0.6971,0.6286,0.5657,0.5129,0.4429,0.2795
Emory,no,35,15080,1240,3002,0.2211,0.3528,0.5766,,0.6270+0.0047,0.68,0.6229,0.5562,0.51,0.4381,0.2755
ES,no,35,31924,1623,3002,0.2117,0.3991,0.5112,,0.5628+0.0032,0.6686,0.5629,0.4838,0.4371,0.3771,0.2694
FullTxt,no,35,35000,1991,3002,0.2373,0.4479,0.5103,,0.5079+0.1090,0.6114,0.5914,0.5371,0.4886,0.4152,0.2748
FullTxt,yes,35,21069,1691,3002,0.268,0.4525,0.5969,,0.6193+0.0012,0.7029,0.6657,0.6019,0.5429,0.4838,0.3264
GUIR,no,35,30727,1981,3002,0.2842,0.4569,0.6251,,0.6787+0.0041,0.7486,0.6571,0.5943,0.55,0.4857,0.3253
GUIR,yes,35,25150,1637,3002,0.2531,0.4067,0.6286,,0.6805+0.0014,0.7771,0.6714,0.5943,0.5429,0.48,0.3054
irc,no,35,35000,1604,3002,0.1666,0.4025,0.417,,0.4841+0.2341,0.5371,0.4543,0.4133,0.3829,0.3381,0.2382
IRIT,yes,35,30840,1934,3002,0.2174,0.4348,0.5366,,0.6089+0.0020,0.6629,0.5771,0.501,0.4514,0.399,0.268
IRIT,no,35,30840,1934,3002,0.214,0.4327,0.5292,,0.6025+0.0052,0.6514,0.5657,0.4895,0.4529,0.3905,0.2662
IRIT,no,35,30840,1934,3002,0.2169,0.4343,0.529,,0.6083+0.0044,0.6629,0.5657,0.5105,0.4529,0.3876,0.2692
mpiid5,no,35,35000,1635,3002,0.2946,0.4609,0.6677,,0.7305+0.0179,0.7771,0.72,0.6705,0.5957,0.5114,0.3408
mpiid5,no,35,35000,1785,3002,0.3185,0.4943,0.6864,,0.7472+0.0109,0.8057,0.7371,0.6895,0.6357,0.5381,0.3653
mpiid5,yes,35,35000,2174,3002,0.338,0.5679,0.6893,,0.7547+0.0020,0.8514,0.7429,0.6743,0.6214,0.5286,0.3773
r2.fusion1,yes,35,30435,1828,3002,0.2418,0.4003,0.4827,,0.5428+0.0014,0.6114,0.5343,0.5029,0.48,0.4295,0.2875
r2.fusion2,yes,35,30799,1942,3002,0.2725,0.4284,0.5553,,0.5737+0.0007,0.68,0.6229,0.579,0.5371,0.4619,0.3125
ReInfoSelect,no,35,30798,1941,3002,0.285,0.4435,0.6259,,0.6670+0.0464,0.6971,0.6571,0.5962,0.5586,0.4886,0.3304
run1,yes,35,31575,1763,3002,0.2037,0.3919,0.5092,,0.5951+0.0020,0.6343,0.5543,0.4952,0.4686,0.4114,0.2589
sab20.2.dfo.meta,no,35,32297,1617,3002,0.1677,0.4226,0.4927,,0.5530+0.1394,0.5657,0.5086,0.4476,0.4057,0.36,0.2219
sab20.2.dfo.metadocs,yes,35,32165,1817,3002,0.2269,0.4704,0.6161,,0.6746+0.0023,0.7086,0.66,0.5695,0.51,0.4229,0.2784
sab20.2.meta.docs,no,35,31571,1940,3002,0.2452,0.4211,0.543,,0.5871+0.0461,0.6457,0.5886,0.5676,0.5286,0.4724,0.3004
SparseDenseSciBert,yes,35,35000,2048,3002,0.3115,0.5096,0.6772,,0.7520+0.0011,0.76,0.6943,0.659,0.6086,0.54,0.3478
Technion-JPDs,no,35,35000,1883,3002,0.2356,0.4268,0.5221,,0.6007+0.0297,0.5943,0.5657,0.5162,0.4743,0.4295,0.2894
Technion-LTR,no,35,35000,1883,3002,0.2497,0.4252,0.5491,,0.5919+0.0387,0.64,0.5971,0.5486,0.51,0.4676,0.3007
Technion-RRF,yes,35,35000,1883,3002,0.2465,0.429,0.5566,,0.6236+0.0016,0.68,0.6,0.5562,0.5071,0.4543,0.2995
TF,no,35,31602,1686,3002,0.2209,0.3829,0.5149,,0.5470+0.0045,0.6171,0.5686,0.539,0.5014,0.42,0.2831
udel,yes,35,35000,1854,3002,0.2436,0.4185,0.5625,,0.6237+0.0015,0.6686,0.6143,0.541,0.5043,0.4362,0.2936
udel,no,35,35000,1713,3002,0.2434,0.3904,0.6132,,0.6426+0.0193,0.6857,0.6571,0.5886,0.5457,0.4657,0.2892
UIowaS,yes,35,35000,2045,3002,0.283,0.4853,0.6365,,0.7042+0.0018,0.76,0.6857,0.6248,0.5786,0.4943,0.3229
UIowaS,no,35,35000,2056,3002,0.2855,0.4887,0.6349,,0.6990+0.0025,0.7714,0.6829,0.619,0.5743,0.499,0.3279
UIowaS,no,35,35000,2047,3002,0.2845,0.4867,0.6382,,0.7037+0.0019,0.7657,0.6886,0.6171,0.5829,0.501,0.3255
UPrrf16bert20-r2,no,35,35000,2109,3002,0.2958,0.4391,0.6099,,0.6758+0.0010,0.6743,0.6457,0.6267,0.5743,0.5133,0.332
UPrrf16lgbert50-r2,no,35,35000,2109,3002,0.2964,0.4414,0.6077,,0.6507+0.0016,0.6971,0.66,0.6229,0.5886,0.52,0.3359
UPrrf16lgbertd50-r2,yes,35,35000,2109,3002,0.3,0.4414,0.632,,0.7153+0.0004,0.7086,0.6657,0.6514,0.5971,0.5219,0.3337
xj4wang,yes,35,35000,1767,3002,0.2146,0.481,0.586,,0.6543+0.0039,0.7314,0.6286,0.5371,0.4714,0.399,0.259
xj4wang,no,35,35000,1780,3002,0.1742,0.4862,0.3474,,0.2464+0.6020,0.3543,0.44,0.4267,0.4043,0.3629,0.2533
xj4wang,no,35,35000,1768,3002,0.221,0.4823,0.5907,,0.6546+0.0041,0.7314,0.64,0.5505,0.4957,0.4162,0.2644
active,yes,40,36217,2705,4698,0.2449,0.5065,0.7285,,0.7770+0.0109,0.835,0.7775,0.6683,0.5825,0.5,0.3008
BioInfo-run1,yes,40,39239,3059,4698,0.3188,0.556,0.7715,,0.8024+0.0131,0.865,0.855,0.8017,0.735,0.6525,0.357
BioInfo-run2,no,40,39184,2823,4698,0.2625,0.497,0.6355,,0.6733+0.1088,0.73,0.7025,0.6633,0.6262,0.58,0.3226
BioInfo-run3,no,40,39882,3060,4698,0.3237,0.5467,0.7463,,0.7787+0.0099,0.86,0.8225,0.7867,0.7512,0.67,0.3593
combined,no,40,36265,2714,4698,0.2426,0.5068,0.6956,,0.7443+0.0319,0.795,0.7375,0.6683,0.585,0.5025,0.3028
covidex.r3.duot5,no,40,38612,3024,4698,0.2676,0.5261,0.6626,,0.7571+0.0853,0.77,0.685,0.6483,0.6013,0.5483,0.3238
covidex.r3.monot5,no,40,38612,3024,4698,0.2635,0.5254,0.6596,,0.7356+0.0654,0.78,0.7,0.6467,0.6025,0.525,0.3223
covidex.r3.t5,yes,40,38612,3024,4698,0.3333,0.5543,0.774,,0.8068+0.0225,0.86,0.845,0.765,0.725,0.6408,0.3772
crowdPRF,no,40,39930,2793,4698,0.232,0.4914,0.6027,,0.6640+0.0289,0.695,0.6675,0.63,0.58,0.5117,0.2961
Emory,yes,40,39944,3001,4698,0.2132,0.5444,0.5867,,0.6114+0.0303,0.715,0.67,0.5433,0.4763,0.4175,0.2606
Emory,no,40,39944,3001,4698,0.2132,0.5444,0.5867,,0.6114+0.0303,0.715,0.67,0.5433,0.4763,0.4175,0.2606
fusionousion,no,40,39915,3290,4698,0.3057,0.5472,0.6495,,0.6632+0.0600,0.745,0.7275,0.6817,0.6475,0.5892,0.3446
fusionofruns,yes,40,39916,3295,4698,0.3084,0.5487,0.6564,,0.6692+0.0581,0.735,0.74,0.685,0.6587,0.5975,0.3483
mpiid5,yes,40,39873,3439,4698,0.301,0.6084,0.706,,0.7012+0.0142,0.78,0.7825,0.675,0.615,0.5358,0.3564
mpiid5,no,40,39939,3367,4698,0.3193,0.5947,0.7235,,0.7935+0.0181,0.83,0.755,0.7017,0.6613,0.6,0.3569
mpiid5,no,40,39927,3335,4698,0.2317,0.5935,0.3583,,0.3458+0.4381,0.425,0.4125,0.4133,0.3975,0.3758,0.3248
OHSU,no,40,39911,3435,4698,0.3244,0.5828,0.6816,,0.7420+0.0441,0.79,0.745,0.705,0.6537,0.5967,0.3655
r3.fusion2,no,40,39911,3057,4698,0.2641,0.4953,0.61,,0.6586+0.0373,0.715,0.6675,0.6267,0.6087,0.55,0.3127
r3.rf,yes,40,39888,2972,4698,0.2817,0.5204,0.6883,,0.7284+0.0251,0.795,0.7725,0.7433,0.6863,0.6033,0.3211
sab20.3.dfo,yes,40,39913,3359,4698,0.3147,0.5872,0.7029,,0.7396+0.0430,0.795,0.7825,0.715,0.6663,0.6092,0.3653
sab20.3.metadocs,no,40,39932,3174,4698,0.26,0.5202,0.6032,,0.6640+0.0828,0.69,0.66,0.6117,0.5887,0.5458,0.3136
sab20.3.rocchio,no,40,39927,3341,4698,0.3077,0.5636,0.673,,0.7216+0.0649,0.785,0.7425,0.6817,0.6363,0.605,0.355
SFDC-e23-f12-re-tf3,no,40,39934,3362,4698,0.3098,0.5665,0.6716,,0.6914+0.0368,0.775,0.7475,0.705,0.6613,0.6008,0.35
SFDC-fus12-enc23-tf3,yes,40,39934,3362,4698,0.316,0.566,0.6867,,0.7227+0.0179,0.78,0.76,0.7017,0.6613,0.6167,0.3531
SFDC-fus12-enc3-tf3,no,40,39921,3355,4698,0.3182,0.5509,0.6716,,0.7052+0.0101,0.765,0.7375,0.715,0.67,0.6225,0.3622
sparse-dense-0.45,no,40,39923,3109,4698,0.2778,0.5364,0.6698,,0.7400+0.0539,0.745,0.705,0.665,0.62,0.5708,0.3272
