RunID,Judged,Topics,Retrieve,RelevantRetrieve,RelevantTopic,MAP,MeanBpref,MeanNDCG@10,MeanNDCG@20,MeanRBP(p=0.5),P@5,P@10,P@15,P@20,P@30,ExactPrecision
sparse-dense-SBrr-2,yes,40,39905,3250,4698,0.3134,0.5419,0.7272,,0.7675+0.0257,0.8,0.7725,0.71,0.6675,0.5992,0.3505
sparse-dense-SBrr-3,no,40,39909,3256,4698,0.3099,0.5553,0.7051,,0.7953+0.0266,0.825,0.73,0.7067,0.6537,0.5875,0.3536
TF,yes,40,34545,2993,4698,0.2902,0.5357,0.6818,,0.7270+0.0237,0.79,0.7775,0.7183,0.66,0.5942,0.3362
udel,no,40,39904,3192,4698,0.321,0.5736,0.7243,,0.7691+0.0288,0.865,0.81,0.7633,0.7312,0.65,0.355
udel,no,40,39891,2905,4698,0.269,0.5037,0.6366,,0.7112+0.0693,0.775,0.6975,0.6733,0.6388,0.5758,0.317
udel,yes,40,39904,3192,4698,0.3238,0.5764,0.7567,,0.7779+0.0272,0.89,0.85,0.795,0.7325,0.6467,0.357
UIowaS,no,40,39907,3190,4698,0.3207,0.5778,0.7658,,0.7965+0.0411,0.89,0.845,0.77,0.7312,0.6492,0.3585
UIowaS,yes,40,39907,3190,4698,0.267,0.5995,0.7175,,0.7405+0.0467,0.8,0.7925,0.6817,0.6238,0.5425,0.3186
UIowaS,no,40,39906,3183,4698,0.3182,0.5759,0.7559,,0.7955+0.0432,0.895,0.825,0.77,0.7325,0.64,0.3563
uogTrDPH,yes,40,33774,2138,4698,0.176,0.3818,0.6319,,0.6822+0.0161,0.77,0.735,0.6267,0.5412,0.4508,0.24
UPrrf20lgbert50-r3,no,40,39905,3135,4698,0.2754,0.4958,0.6849,,0.7675+0.0338,0.8,0.72,0.6683,0.6275,0.5617,0.3236
UPrrf20lgprel50v2-r3,no,40,39905,3135,4698,0.2783,0.4964,0.7134,,0.7743+0.0323,0.79,0.7475,0.685,0.6325,0.5658,0.3236
UPrrf20maxens-r3,yes,40,39905,3135,4698,0.274,0.4952,0.6954,,0.7420+0.0274,0.765,0.74,0.6833,0.63,0.5642,0.3236
xj4wang,yes,40,39938,2857,4698,0.2836,0.5681,0.7431,,0.7300+0.0407,0.835,0.8325,0.72,0.6625,0.5633,0.3325
xj4wang,no,40,39941,2794,4698,0.2534,0.5537,0.6252,,0.6303+0.2002,0.7,0.705,0.6733,0.64,0.5517,0.3111
xj4wang,no,40,39942,2742,4698,0.2751,0.5464,0.7413,,0.7299+0.0412,0.835,0.8275,0.7183,0.6588,0.5608,0.328
active,yes,45,39716,3612,5824,0.2946,0.5464,,0.6551,0.8056+0.0244,0.8578,0.8,0.7052,0.6533,0.5748,0.3414
BioInfo-run2,yes,45,30771,2574,5824,0.2161,0.3665,,0.6191,0.7190+0.0005,0.8089,0.7644,0.7126,0.6667,0.58,0.2846
BioInfo-run3,no,45,44977,4213,5824,0.3058,0.5494,,0.6334,0.7394+0.0003,0.8133,0.7489,0.717,0.6822,0.6022,0.3391
combined,no,45,39760,3622,5824,0.2963,0.548,,0.6451,0.7739+0.0387,0.8311,0.78,0.7037,0.6522,0.5778,0.3427
covidex.r4.d2q.duot5,yes,45,40405,3795,5824,0.3122,0.5589,,0.7219,0.8502+0.0007,0.8622,0.8178,0.7689,0.7267,0.6319,0.3426
covidex.r4.duot5.lr,yes,45,40405,3795,5824,0.3846,0.5825,,0.7745,0.8838+0.0003,0.9244,0.8933,0.8489,0.7967,0.7044,0.4189
covidex.r4.duot5,no,45,42252,3919,5824,0.3283,0.5576,,0.6877,0.8130+0.0349,0.8178,0.7778,0.7378,0.6922,0.6133,0.3606
CSIROmedNIR,yes,45,37350,3304,5824,0.2625,0.4713,,0.6353,0.7483+0.0063,0.7867,0.76,0.7141,0.6633,0.5807,0.3079
HKPU-Gos1-pPRF,yes,45,44982,3732,5824,0.2746,0.5251,,0.5856,0.6901+0.0007,0.7467,0.7156,0.6622,0.6111,0.5481,0.3169
HKPU-MATF-pPRF,yes,45,44981,3818,5824,0.3125,0.5438,,0.637,0.7670+0.0005,0.8178,0.7622,0.6978,0.6533,0.5859,0.3466
HKPU-SPUD-pPRF,no,45,44983,3834,5824,0.314,0.5429,,0.6389,0.7558+0.0158,0.7689,0.72,0.6933,0.6589,0.5881,0.3531
l2r,yes,45,39604,3706,5824,0.3103,0.5598,,0.6501,0.7647+0.0206,0.8089,0.7533,0.6993,0.6667,0.603,0.3483
mpiid5,yes,45,44980,4285,5824,0.3993,0.6132,,0.7391,0.8622+0.0004,0.9067,0.8422,0.7926,0.7589,0.6585,0.4332
r4.fusion2,yes,45,44981,4020,5824,0.3088,0.5302,,0.6089,0.6715+0.0003,0.7644,0.7244,0.6978,0.6589,0.5852,0.3479
r4.rf,yes,45,44977,3981,5824,0.3519,0.5607,,0.6976,0.8174+0.0003,0.8578,0.8067,0.7748,0.7344,0.6726,0.3935
run1,no,45,44978,4313,5824,0.3992,0.6256,,0.742,0.8551+0.0053,0.8622,0.84,0.8074,0.7633,0.7067,0.432
run2,yes,45,44979,4373,5824,0.4079,0.6292,,0.747,0.8612+0.0002,0.9022,0.8511,0.7985,0.77,0.7111,0.4327
run3,yes,45,44979,4365,5824,0.3967,0.6299,,0.7345,0.8598+0.0003,0.8978,0.8467,0.7941,0.7522,0.7015,0.4213
sab20.4.dfo,yes,45,44980,4234,5824,0.3722,0.6257,,0.7247,0.8346+0.0007,0.8889,0.8489,0.7793,0.7556,0.68,0.4064
sab20.4.metadocs,no,45,44778,3847,5824,0.2935,0.5242,,0.6358,0.7898+0.0231,0.7911,0.7133,0.6785,0.6533,0.5741,0.3392
sab20.4.rocchio,yes,45,44409,4024,5824,0.3333,0.5802,,0.6921,0.8291+0.0007,0.8844,0.8289,0.757,0.7133,0.64,0.3703
SFDC-re-fus12-enc24,yes,45,44981,4168,5824,0.342,0.5874,,0.6763,0.7686+0.0005,0.8133,0.7978,0.7467,0.7056,0.6348,0.3724
SFDC-re-fus12-enc34,no,45,44979,4175,5824,0.3431,0.5875,,0.6741,0.7609+0.0012,0.8222,0.7778,0.7422,0.7067,0.6474,0.3752
ucd,yes,45,44980,3418,5824,0.2976,0.4871,,0.6474,0.7307+0.0004,0.7822,0.7467,0.7096,0.6911,0.6178,0.3477
ucd,no,45,44976,3655,5824,0.3178,0.5265,,0.6528,0.7534+0.0283,0.8267,0.76,0.723,0.6844,0.6289,0.3714
udel,yes,45,44979,4198,5824,0.3907,0.6161,,0.7534,0.8660+0.0004,0.9378,0.8911,0.8281,0.7844,0.7133,0.4167
udel,yes,45,44979,4198,5824,0.3865,0.6152,,0.7336,0.8745+0.0005,0.9378,0.8733,0.8133,0.76,0.6756,0.4143
udel,no,45,44979,4203,5824,0.3104,0.6095,,0.5976,0.7274+0.1153,0.7422,0.6711,0.6356,0.6033,0.5474,0.3723
uogTrDPH,yes,45,44756,3842,5824,0.3186,0.5362,,0.6439,0.7752+0.0006,0.84,0.78,0.7111,0.6656,0.6052,0.3562
uogTrDPH,yes,45,44756,3842,5824,0.3457,0.551,,0.682,0.8003+0.0005,0.8622,0.8133,0.757,0.7144,0.6296,0.383
uogTrDPH,no,45,44756,3842,5824,0.3342,0.5524,,0.6597,0.7844+0.0064,0.8311,0.7733,0.7333,0.6844,0.6148,0.3724
UPrrf38rrf2-r4,no,45,44982,4334,5824,0.3612,0.5917,,0.6792,0.7602+0.0067,0.8133,0.7844,0.7437,0.7156,0.6541,0.3959
UPrrf38rrf3-r4,yes,45,44979,4673,5824,0.4681,0.6801,,0.7843,0.8599+0.0003,0.9333,0.9,0.8607,0.8211,0.7504,0.4772
UPrrf38rrf3v2-r4,yes,45,44980,4474,5824,0.431,0.6514,,0.7706,0.8718+0.0004,0.9378,0.8778,0.8311,0.7856,0.7274,0.4504
uw,no,45,44885,4248,5824,0.3471,0.5622,,0.6494,0.7411+0.0145,0.7778,0.76,0.717,0.6867,0.6281,0.3801
uw,yes,45,44898,4473,5824,0.3923,0.6317,,0.6811,0.7725+0.0006,0.8844,0.82,0.7585,0.7189,0.6504,0.4143
uw,yes,45,44897,4509,5824,0.3846,0.6348,,0.6559,0.7659+0.0007,0.8711,0.8133,0.7333,0.6978,0.6341,0.4134
xj4wang,yes,45,41931,3241,5824,0.2963,0.5507,,0.7019,0.7946+0.0194,0.8933,0.8422,0.7644,0.7244,0.6378,0.3503
xj4wang,yes,45,42160,3024,5824,0.2774,0.5216,,0.6855,0.7486+0.0201,0.8844,0.84,0.7719,0.7278,0.6326,0.3266
xj4wang,no,45,42241,2950,5824,0.2775,0.5084,,0.7019,0.7946+0.0194,0.8933,0.8422,0.7644,0.7244,0.6385,0.3316
BioInfo-run1,yes,50,30490,4210,10910,0.2102,0.3423,,0.6866,0.8214+0.0007,0.912,0.834,0.784,0.726,0.6427,0.288
BioInfo-run2,yes,50,30490,4210,10910,0.2112,0.3429,,0.6869,0.8164+0.0005,0.9,0.852,0.7853,0.726,0.6433,0.288
BioInfo-run3,yes,50,49894,7336,10910,0.2614,0.5205,,0.6879,0.8251+0.0004,0.9,0.834,0.7853,0.726,0.6433,0.2946
bm25L1,no,50,49941,4293,10910,0.22,0.3566,,0.6652,0.7980+0.0111,0.836,0.774,0.72,0.682,0.6167,0.2995
bm25L2,yes,50,49985,4950,10910,0.2448,0.3925,,0.6788,0.8045+0.0017,0.868,0.814,0.7547,0.701,0.6407,0.3212
BRPHJ,yes,50,39721,5945,10910,0.2753,0.4487,,0.6731,0.7643+0.0005,0.82,0.786,0.7507,0.711,0.654,0.3401
BRPHJ,yes,50,39623,5986,10910,0.2836,0.4506,,0.6708,0.7667+0.0011,0.824,0.782,0.744,0.707,0.6493,0.3501
covidex.r5.1s.lr,no,50,49900,6722,10910,0.3886,0.5325,,0.8135,0.9011+0.0008,0.956,0.912,0.8707,0.838,0.766,0.4331
covidex.r5.1s,no,50,49900,6722,10910,0.3119,0.5043,,0.696,0.7942+0.0036,0.876,0.812,0.7573,0.707,0.638,0.372
covidex.r5.2s.lr,yes,50,49900,6722,10910,0.3922,0.533,,0.8311,0.9361+0.0007,0.976,0.922,0.8867,0.846,0.7793,0.434
covidex.r5.2s,yes,50,49900,6722,10910,0.3212,0.5052,,0.7457,0.8447+0.0006,0.896,0.854,0.8053,0.761,0.6793,0.3721
covidex.r5.d2q.1s.lr,no,50,49916,6461,10910,0.3859,0.528,,0.8221,0.9226+0.0012,0.964,0.912,0.8707,0.84,0.78,0.4341
covidex.r5.d2q.1s,yes,50,49916,6461,10910,0.315,0.5061,,0.7121,0.7723+0.0007,0.864,0.84,0.7907,0.732,0.662,0.3791
covidex.r5.d2q.2s.lr,yes,50,49916,6461,10910,0.3875,0.528,,0.8304,0.9370+0.0011,0.984,0.916,0.876,0.838,0.7907,0.434
covidex.r5.d2q.2s,yes,50,49916,6461,10910,0.3227,0.5052,,0.7539,0.8374+0.0011,0.904,0.872,0.8133,0.77,0.6993,0.3774
CSIROmedNIP,yes,50,39827,5113,10910,0.2225,0.4013,,0.6439,0.7730+0.0010,0.844,0.776,0.7027,0.672,0.6027,0.2911
CSIROmedNIR,yes,50,39769,4847,10910,0.2039,0.3851,,0.633,0.7689+0.0010,0.828,0.754,0.7053,0.662,0.588,0.2728
elhuyar,yes,50,49634,6151,10910,0.3474,0.5163,,0.8061,0.9028+0.0008,0.96,0.92,0.8693,0.823,0.77,0.3993
elhuyar,yes,50,49911,7507,10910,0.4029,0.6091,,0.8116,0.8990+0.0005,0.956,0.932,0.8813,0.834,0.7813,0.4336
elhuyar,yes,50,49904,7525,10910,0.4105,0.6002,,0.7808,0.8524+0.0004,0.936,0.906,0.8627,0.832,0.7833,0.4408
elhuyar,yes,50,49898,7669,10910,0.4169,0.6214,,0.7789,0.8517+0.0004,0.948,0.9,0.8653,0.831,0.782,0.4519
elhuyar,yes,50,49901,7633,10910,0.406,0.6284,,0.8033,0.8814+0.0009,0.944,0.924,0.8827,0.829,0.7787,0.4389
HKPU-LGD-dPRF,yes,50,49894,6512,10910,0.2824,0.4668,,0.6494,0.6902+0.0005,0.796,0.772,0.724,0.704,0.64,0.3393
HKPU-RM3-dPRF,yes,50,49911,6544,10910,0.285,0.4778,,0.6437,0.7226+0.0008,0.78,0.756,0.7173,0.676,0.6347,0.3353
HKPU-SPUD-dPRF,yes,50,49900,6702,10910,0.2973,0.4883,,0.6448,0.7013+0.0007,0.804,0.754,0.7173,0.689,0.644,0.3479
mpiid5,yes,50,49904,7339,10910,0.3903,0.5873,,0.7761,0.8535+0.0007,0.92,0.894,0.8373,0.811,0.7547,0.4332
mpiid5,yes,50,49904,7081,10910,0.3708,0.5471,,0.7614,0.8620+0.0009,0.924,0.886,0.82,0.786,0.7387,0.423
r5.d2q.rf,yes,50,49911,6330,10910,0.2433,0.4848,,0.6124,0.7625+0.0013,0.784,0.694,0.64,0.612,0.564,0.3193
r5.rf,yes,50,49896,6823,10910,0.328,0.5103,,0.7346,0.8424+0.0005,0.872,0.858,0.8187,0.779,0.718,0.3774
rk,yes,50,49813,6976,10910,0.3439,0.5719,,0.7374,0.8577+0.0013,0.904,0.848,0.7947,0.745,0.6913,0.3907
rk,no,50,49911,6533,10910,0.2707,0.5021,,0.632,0.7517+0.0955,0.776,0.72,0.684,0.644,0.5893,0.3397
rk,no,50,49819,6695,10910,0.2778,0.5174,,0.6475,0.7663+0.0728,0.796,0.744,0.6947,0.665,0.602,0.3434
rk,yes,50,49922,6834,10910,0.3068,0.5759,,0.7312,0.8302+0.0052,0.908,0.84,0.7813,0.746,0.674,0.3546
rk,yes,50,48529,7006,10910,0.3719,0.5616,,0.7826,0.8632+0.0010,0.924,0.88,0.8453,0.805,0.7453,0.411
rk,yes,50,45594,6939,10910,0.3789,0.5659,,0.7956,0.8800+0.0004,0.932,0.888,0.8547,0.826,0.7613,0.4209
rk,yes,50,47699,6963,10910,0.3468,0.568,,0.7716,0.8706+0.0008,0.912,0.874,0.832,0.788,0.7107,0.3947
run1,yes,50,49892,7452,10910,0.3983,0.5735,,0.7889,0.8807+0.0006,0.92,0.898,0.86,0.828,0.782,0.4349
run2,yes,50,47316,7319,10910,0.3966,0.5639,,0.7921,0.8885+0.0003,0.924,0.9,0.8653,0.832,0.7853,0.4367
sab20.5.3.dfo,yes,50,49899,7461,10910,0.3586,0.5693,,0.7215,0.8195+0.0006,0.892,0.848,0.792,0.769,0.7253,0.3995
sab20.5.3.metadocs,no,50,49916,6820,10910,0.2918,0.4828,,0.6559,0.7149+0.0029,0.8,0.758,0.7333,0.713,0.6527,0.3564
sab20.5.4.dfo,yes,50,49904,7732,10910,0.4061,0.6078,,0.7791,0.8902+0.0005,0.96,0.894,0.8427,0.821,0.772,0.4377
sab20.5.dfo,yes,50,49905,7672,10910,0.4001,0.604,,0.7743,0.8815+0.0005,0.932,0.884,0.8427,0.817,0.7687,0.4333
sab20.5.metadocs,yes,50,49912,6879,10910,0.3008,0.4874,,0.6778,0.7715+0.0007,0.816,0.764,0.7453,0.724,0.6647,0.3603
SFDC-enc45-refus12,yes,50,49910,7052,10910,0.3089,0.5253,,0.6772,0.7939+0.0010,0.876,0.826,0.7613,0.715,0.664,0.3604
ucd,yes,50,29815,5163,10910,0.2865,0.4476,,0.6851,0.7687+0.0017,0.916,0.844,0.7627,0.726,0.67,0.3713
ucd,yes,50,29815,5163,10910,0.3084,0.4396,,0.7539,0.8430+0.0004,0.916,0.868,0.8387,0.801,0.736,0.3779
ucd,yes,50,29815,5163,10910,0.3348,0.4488,,0.7859,0.8457+0.0001,0.924,0.896,0.856,0.844,0.7847,0.3995
udel,yes,50,49894,7041,10910,0.3682,0.5451,,0.7929,0.8988+0.0005,0.964,0.906,0.8693,0.827,0.7853,0.4007
udel,yes,50,49894,7041,10910,0.3644,0.5454,,0.7856,0.8887+0.0013,0.952,0.892,0.856,0.815,0.7707,0.4007
udel,yes,50,49894,7057,10910,0.3233,0.5555,,0.683,0.7636+0.0010,0.824,0.782,0.7587,0.717,0.6567,0.3802
UIowaS,yes,50,49894,7328,10910,0.3759,0.5719,,0.7719,0.8657+0.0009,0.904,0.866,0.848,0.819,0.7547,0.4113
UIowaS,yes,50,49894,7336,10910,0.3766,0.5723,,0.7714,0.8608+0.0009,0.904,0.868,0.8493,0.82,0.7553,0.4128
UIowaS,yes,50,49894,7336,10910,0.3768,0.573,,0.7713,0.8618+0.0009,0.904,0.868,0.8493,0.82,0.7533,0.4131
uogTrDPH,yes,50,49847,7130,10910,0.3597,0.5519,,0.7591,0.8467+0.0003,0.892,0.856,0.8387,0.808,0.7513,0.4033
uogTrDPH,yes,50,49847,7130,10910,0.3795,0.5687,,0.787,0.8680+0.0002,0.912,0.902,0.8653,0.835,0.768,0.4251
uogTrDPH,yes,50,49847,7130,10910,0.3809,0.5647,,0.7776,0.8609+0.0006,0.892,0.876,0.86,0.828,0.7713,0.424
uogTrDPH,no,50,49847,7130,10910,0.1081,0.4965,,0.114,0.1218+0.7452,0.108,0.126,0.1347,0.142,0.1553,0.1532
uogTrDPH,no,50,49847,7130,10910,0.3901,0.5709,,0.7913,0.8683+0.0008,0.92,0.898,0.8747,0.842,0.7873,0.4326
uogTrDPH,yes,50,49853,6485,10910,0.3173,0.4832,,0.7178,0.7818+0.0005,0.872,0.836,0.8013,0.765,0.7113,0.3698
uogTrDPH,no,50,49853,6485,10910,0.3037,0.4822,,0.7041,0.7776+0.0035,0.86,0.826,0.784,0.74,0.686,0.3561
uogTrDPH,yes,50,49853,6485,10910,0.3305,0.4933,,0.7427,0.8079+0.0006,0.904,0.86,0.8213,0.791,0.7227,0.384
UPrrf102-r5,yes,50,49889,8153,10910,0.4569,0.6043,,0.8092,0.9056+0.0000,0.96,0.914,0.8773,0.853,0.8073,0.4805
UPrrf102-wt-r5,yes,50,49887,8092,10910,0.4731,0.6378,,0.849,0.9399+0.0003,0.972,0.948,0.896,0.869,0.83,0.4933
UPrrf80-r5,no,50,49905,7497,10910,0.3598,0.5283,,0.7116,0.7738+0.0001,0.86,0.816,0.7853,0.759,0.7167,0.408
UPrrf89-r5,yes,50,49901,7508,10910,0.3612,0.5364,,0.7235,0.8022+0.0003,0.868,0.832,0.788,0.759,0.7133,0.4073
UPrrf93-r5,yes,50,49888,8147,10910,0.4565,0.6037,,0.8078,0.8980+0.0000,0.96,0.908,0.88,0.854,0.8093,0.4792
UPrrf93-wt-r5,yes,50,49887,8085,10910,0.4718,0.6372,,0.8496,0.9197+0.0004,0.972,0.946,0.904,0.876,0.822,0.4912
uw,no,50,49806,7119,10910,0.3157,0.4996,,0.6507,0.7408+0.0012,0.804,0.766,0.7387,0.703,0.6593,0.373
uw,yes,50,49819,6900,10910,0.3132,0.5036,,0.6877,0.7777+0.0010,0.86,0.828,0.7667,0.74,0.6707,0.3692
uw,yes,50,49821,7118,10910,0.3254,0.5255,,0.6864,0.7789+0.0004,0.836,0.814,0.764,0.732,0.6847,0.382
uw,yes,50,49824,6889,10910,0.3063,0.5293,,0.6659,0.7672+0.0013,0.844,0.812,0.7573,0.711,0.6527,0.352
uw,yes,50,49834,7345,10910,0.3219,0.5748,,0.6567,0.7987+0.0014,0.868,0.796,0.752,0.699,0.6373,0.3734
xj4wang,yes,50,49923,6188,10910,0.2647,0.5254,,0.6663,0.7767+0.0018,0.864,0.808,0.7307,0.678,0.6247,0.3207
xj4wang,yes,50,49927,5889,10910,0.2509,0.5062,,0.6685,0.7539+0.0015,0.844,0.808,0.7427,0.703,0.64,0.3076
xj4wang,yes,50,49928,5743,10910,0.2448,0.4912,,0.6663,0.7767+0.0018,0.864,0.808,0.7307,0.678,0.6247,0.2984